id,question,bot_id,answer_id
13431,"「日当」現地で、主催者側から参加日当<US$1,100ドル>を現金で受け取った。
交通費も含まれていますが、出張処理は何か必要ですか？",13,6857
13432,「日当」海外出張が人事研修の一環であるが、日当は支給されますか？,13,6858
13433,「機中泊」機中泊の考え方は？,13,6859
13434,「帰国日延長」出張期間が１ヶ月延びた場合はどこへ連絡すればいいの？,13,6860
13435,"「朝食代
ランドリー代」食事代・クリーニング代（ランドリー代）は個人負担ですか？",13,6861
13436,"「返金
⇒給与天引き」すでに精算済みの宿泊費で、カード引き落としが無いため
確認したら、現法で負担してくれていたことがわかった。
返金したいが、どう処理したらよいですか？",13,6862
13437,「立替精算」プロジェクトの開発費で、システムとは別で立替精算処理したい。,13,6863
13438,"「計上」7月出発のエアチケット代を6月に購入。ＪＭＢ振替えではなく、旅行会社に請求書を発行してもらえば、6月計上できますか？
",13,6864
13439,「決算」四半期決算月の処理について、教えて下さい。,13,6865
13440,「決算」決算月をまたぐ出張時に、決算月分のみ先に計上したい場合は？,13,6866
13441,"「決算」決算月に、出発日未定（4月以降の予定）の航空券を3月計上したいが
可能ですか？",13,6867
13442,「年末年始」年末年始の海外出張システムは？,13,6868
13443,「ゼロ精算」『旅費交通費（宿泊費・日当）は、上海現法負担』の場合の処理は？,13,6869
13444,「ﾊﾝﾄﾞｷｬﾘｰ」ハンドキャリーについて,13,6870
13445,「予防接種」予防接種の要・不要の判断は？,13,6871
13446,"「予防接種」海外出張の際の予防接種（国内発生分）を収入印紙で
支払った場合の勘定科目は？",13,6872
13447,「勤務時間」海外出張時の勤務表の入力は？,13,6873
13448,"「長期出張」
同一国長期出張　183日ルール（タイは180日）",13,6874
13449,「長期出張」一般派遣で長期出張（30日以上？）の申請が出されたら？,13,6875
13450,"「長期出張」長期（１ヶ月以上）の海外出張の場合は、精算はどうするの？
",13,6876
13451,「旅行代理店」指定旅行代理店は？,13,6877
13452,「ビザ」ビザ手続きは？,13,6878
13453,"「退職」退職後に、未精算が発覚したが、どうしたらよいか？
海外出張システムは、「精算届作成待」状態です。",13,6879
13454,"「退職」豊田通商から関連会社へ転籍のため、2月末日で豊田通商を
退職となるが、退職後の精算方法と振込はどうなりますか？
（海外出張の帰国日が「2月末日」、出張申請＆上長承認が「2月末日」完了）
2月末日分として夜間処理には間に合いますが、実際振り込む際には、退職しています。
",13,6880
13455,「出張中止」出張中止となったがどうすればよいか。,13,6881
13456,"「出張中止」出張申請をし、精算届を開けてしまったが・・・
実際は、出張中止になった場合、システム上、「ドラフト保存中」で残ってしまっている。",13,6882
13457,"「督促メール」帰国日を過ぎると、「精算届けを出してください」と精算するまで
督促メールが届く。
帰国日が延長になり、帰国日を修正したのですが、
まだ督促メールが届くのは何故ですか？",13,6883
13458,「エラー」計算書のマクロについて,13,6884
13459,"「エラー」
頂いたTWINS上のマクロ設定のインストラクションは、どうもExcel2010用のものでは無いようです。

ネットでExcel2010用のマクロ設定方法を調べて、全てのマクロを有効にする設定を行いましたが、それでも当該費用計算書がマクロ設定で開かないのですが、どのようにしたら宜しいでしょうか？

",13,6885
13460,"「エラー」エラーが発生して、出張申請が出来ません！

例外エラーが発生しました。
fumctionスタックトレース：
anonymous->anonymous->JS00_FileSave->JS00_FileSave->anonymous->anonymous->doClick->〔anonymous〕->*end*
",13,6886
13461,「その他」海外出張中に、身内にご不幸があり、帰国する際の費用は？,13,6887
13462,"「その他」海外駐在員の海外出張旅費を、ＫＤ事業部で負担して処理をしたい。
SAPの立替金精算で処理していただけますか？
外貨→円貨精算（社内レート）",13,6888
13463,"「勘定科目」会議で、「昼食代＋会議室使用料」が人数で按分された領収書
それぞれの明細金額は無く、詳細がわからない",13,6889
13464,「勘定科目」航空保険特別料金（非課税）,13,6890
13465,「通貨記号」現行通貨の一覧は？,13,6891
13466,「承認」承認者変更したいがどうすればいい？,13,6892
13467,「関税」お土産に対する関税の勘定科目は？,13,6893
13468,「その他」役員出張規程は別にあるの？,13,6894
13469,「承認」海外出張申請ルートについて、承認者を変更したいがどうしたらよいか？,13,6895
13470,「帰国日延長」申請していた出張期間が変更になった、どうすればいいの？,13,6896
13471,「その他」出張申請したが、費用負担はなし（0円）でも、計算書は提出するの？,13,6897
13472,"「レート」長期出張で日当のみ途中精算したいとき
その場合の「帰国日」は？「レート」は？",13,6898
13473,「その他」黄熱病の予防接種を現地で受けた。外貨で支払ったが精算はどのようにしたらよいか？,13,6899
13474,「勘定科目」勘定科目（その他）が2科目以上あり、電子申請できないがどうして？,13,6900
13475,「日当」名古屋に宿泊をともなう研修に参加したが、その際の日当は支給されるか,13,6901
13476,「出張精算書」過去の出張旅費精算書（電子申請）が見たい。,13,6902
13477,「健康保険、厚生年金、国民年金手続き」保険証を紛失したが、再発行されるまでにどれくらい時間かかるの？,13,6903
13478,「健康保険、厚生年金、国民年金手続き」海外赴任中で印鑑がない場合、被扶養者異動届の押印は？,13,6904
13479,「健康保険、厚生年金、国民年金手続き」扶養配偶者が就職したので扶養からはずす場合、国民年金第3号届出は必要か？,13,6905
13480,「高年齢者雇用継続給付手続、育児休業給付手続」給付金受給までにどれくらい時間かかるの？,13,6906
13481,「離職票作成」退職し失業保険手続きをしたいが、「離職票」はいつ送ってくれるの？,13,6907
13482,「健康保険、厚生年金、国民年金手続き」受け取った保険証の生年月日が違う,13,6908
13483,「健康保険、厚生年金、国民年金手続き」子供が生まれたので保険証がほしい,13,6909
13484,「健康保険、厚生年金、国民年金手続き」保険証を失くした,13,6910
13485,「健康保険、厚生年金、国民年金手続き」すぐに病院へ行きたいが保険証を忘れた、どうすればいいの？,13,6911
13486,「健康保険、厚生年金、国民年金手続き」保険証が盗まれた,13,6910
13487,「健康保険、厚生年金、国民年金手続き」保険証の印字が薄くなった,13,6910
13488,「健康保険、厚生年金、国民年金手続き」年金手帳の番号が知りたい,13,6912
13489,「雇用保険手続き」雇用保険の番号が知りたい,13,6912
13490,「雇用保険手続き」雇用保険被保険者証のコピーがほしい,13,6912
13491,「健康保険、厚生年金、国民年金手続き」年金手帳って会社にあるの？,13,6913
13492,「教育訓練給付金手続き」ハローワーク（職安）へ教育訓練給付金を申請したいが、雇用保険番号と事業主印はどこへ依頼するの？,13,6912
13493,「その他」扶養してる妻の年金手帳は会社で保管してる？,13,6914
13494,「所得税扶養異動関連」給与明細に記載されている扶養人数が違っている？,13,6915
13495,「所得税扶養異動関連」給与明細に記載されている扶養人数ってなに？,13,6916
13496,「源泉徴収票」過去年分の源泉徴収票を再発行してもらいたいけど、東京でも発行可能か？,13,6917
13497,「退職者説明」退職する予定だが、退職金試算はしてもらえる？,13,6918
13498,「その他」役所発行の「住民税決定通知書」が欲しい。,13,6919
13499,「その他」診療室利用の「領収証」が欲しい,13,6920
13500,「源泉徴収票」源泉徴収票が欲しいが受信したメールを削除してしまった、再発行できるか？,13,6921
13501,「源泉徴収票」28年分の源泉徴収票が送れらてこないが、いつもらえるの？,13,6922
13502,「源泉徴収票」源泉徴収票がメール配信されたが、確定申告に使えるのか？,13,6923
13503,「ﾏｲﾅﾝﾊﾞｰ」自分のマイナンバーを教えてほしい,13,6924
13504,「通勤費」引越しして通勤費が変わるが、いつまでに申請するの？,13,6925
13505,「源泉徴収票」過去分（昨年度以前）の源泉徴収票を発行してほしい,13,6926
13506,「育児休業」保育園入所に伴う役所へ提出するため、証明書（勤務/育休）が欲しい,13,6927
13507,「育児休業」傷病積立有休の残日数はどこで確認できるの？,13,6928
13508,「育児休業」健保の出産育児一時金/付加金はいくら支給されるの？,13,6929
13509,「育児休業」健保の出産育児一時金/付加金の申請手続きは？,13,6930
13510,「育児休業（男性）」数日間の育休（男性社員）の場合でも「復帰面談」はあるの？,13,6931
13511,「産前産後休暇」産前産後および育児休業期間は、里帰り出産するなど一時的に住所が変わる場合は？,13,6932
13512,「育児休業」育児休業終了予定日の変更は1回だけか？,13,6933
13513,「育児休業（男性）」男性社員⇒妻の出産に伴い、慶弔休暇（2日）取らずに育児休暇取得しても良いの？,13,6934
13514,「育児休業」給付金申請書類は、いつごろ、誰から案内されるの？,13,6935
13515,「育児休業」育休開始したら、すぐに育児休業給付金は振り込まれるの？,13,6936
13516,「育児休業」1歳を過ぎても保育園に入所できないので、給付金延長申請する場合、関係書類はなにが必要なの？,13,6937
13517,「育児休業」保育園入所について役所に問い合わせしたところ、定員超過などで入所が難しいと言われたので、入所手続きしなかったが、給付金の延長はできるの？,13,6938
13518,「育児休業」育休中（無給）の住民税は自分で振り込むと聞いたが、給与明細書で確認できるの？,13,6939
13519,「その他」休職中はTWINS見られるの？,13,6940
13520,「その他」休職中の勤怠（休暇）管理システムの申請は自分でやるの？,13,6941
13521,「育児休業」育休中に社内研修受講は可能か？,13,6942
13522,「その他」育児短時間勤務申請書はいつまでに提出するのか？,13,6943
13523,「産前産後休暇」産前休暇申請したいが、出産予定日には上長が変わるが、誰に申請するのか？,13,6944
13524,「その他」育休中の持株会の給与天引きはどうなるの？,13,6945
13525,「TTC社内TOEIC検定」急遽、当日受験できなくなった。,13,6946
13526,「TTC社内TOEIC検定」受験拠点変更をお願いしたい。,13,6947
13527,「TTC実務知識講座　スクーリング」日程変更をしたい。,13,6948
13528,「TTC実務知識講座　修了テスト」日程変更をしたい。,13,6948
13529,「入社」健康保険証受け取り時期について,13,6949
13530,「入社」連帯保証人設定について,13,6950
13531,「入社」連帯保証人設定について、同世帯だが扶養外（不動産等収入有）の妻を設定することは可能か？,13,6951
13532,「入社」住民票の届け出先について、海外への転居届は可能か？,13,6952
13533,「退職（雇用保険）」名古屋の弁護士法人ｸﾛｰﾊﾞｰから封書が届いたが、弁護士事務所とはなにか？,13,6953
13534,「退職（健康保険）」豊田通商の健康保険は継続できるの？,13,6954
13535,「退職（健康保険）」豊田通商の健康保険料はいくらかかるの？,13,6955
13536,「退職（健康保険）」退職後の健康保険はどうなるの？,13,6956
13537,「退職（健康保険）」退職後の健康保険加入は、国民健康保険と任意継続保険ではどちらが安いの？,13,6957
13538,「退職（健康保険）」豊田通商健保を任意継続したが、保険証はいつ届くの？　届くまでの保険証は？,13,6958
13539,「退職金（住民税）」退職年に支払ったはずなのに、翌年も役所より納付請求が届いたのはなぜ？,13,6959
13540,「退職（雇用保険）」配偶者の海外転勤により帯同となるが、失業給付延長の手続きはどうするの？,13,6960
13541,「その他」給与天引きしている保険（がん、生命保険、損害保険、自動車保険）の手続きは？,13,6961
13542,「OB豊楽会」OB会に入会すると損保（ﾏｲﾗｲﾌ）保険料が安くなるの？,13,6962
13543,「OBﾄｰﾒﾝ旧友会」ﾄｰﾒﾝOB会はまだ存在しているの？,13,6963
13544,「退職金（税金）」海外在留中に退職金を受け取る場合、税金と申告手続きは？,13,6964
13545,「その他」餞別金はいくら貰えるの？また、いつ振り込まれるの？,13,6965
13546,「OB豊楽会」早く入会手続きしたい（退職説明の実施日前に入会）,13,6966
13547,「OB豊楽会」入会すると会費や年会費などいくらかかるの？,13,6967
13548,「退職（雇用保険）」失業保険を受給したいが、手続きはどうすればいいの？,13,6968
13549,「退職（雇用保険）」離職票はいつ送られてくるの？,13,6969
13550,「その他」退職証明書は、いつ発行されますか？,13,6970
13551,「退職（国民年金）」雇用保険の失業保険をもらうと、国の年金はもらえないの？,13,6971
13552,「退職（雇用保険）」高年齢雇用継続給付をもらうと、国の年金はもらえないの？,13,6972
13553,「退職（国民年金）」定年60歳（再就職しない）で退職するが、扶養している妻（60歳未満）の手続きは何かある？,13,6973
13554,「退職（勤怠）」最終出勤日以降は、全て「有休」取得となるが、勤怠ｼｽﾃﾑはどうすればいいの？,13,6974
13555,「退職金」退職金の振込口座を変えたい,13,6975
13556,「確定拠出年金」手続きはどうやるの？,13,6976
13557,「豊田通商企業年金基金」受け取り方法は一時金？年金？,13,6977
13558,「退職（雇用保険）」退職後、失業給付手続きすれば、すぐに支給されるの？,13,6978
13559,「退職（雇用保険）」受給資格は？　退職後は独立（自営）するが受給できるの？,13,6979
13560,「退職（雇用保険）」高年齢雇用継続給付ってどんな制度？,13,6980
13561,「賞与」退職後の賞与（在籍対象期間分）はもらえるの？,13,6981
13562,「確定申告」自分で申告するの？,13,6982
13563,「定時外手当」退職月の残業代は、いつ支払われるの？,13,6983
13564,「ｶﾌｪﾃﾘｱﾌﾟﾗﾝ」ｶﾌｪﾃﾘｱﾌﾟﾗﾝ（ﾏｲｽﾀｲﾙ）の提出は、退職月に提出しても支給されるの？,13,6984
13565,「社宅・寮」退職日までに退去しないとダメ？,13,6985
13566,「ｺﾞﾙﾌ倶楽部」ﾍﾞﾙﾌﾗﾜｰｶﾝﾄﾘｰ倶楽部「BELLｼﾆｱ会」に入会したい,13,6986
13567,「PC関連」TTCｱｶｳﾝﾄはどうすればいいの？,13,6987
13568,「退職ｾﾚﾓﾆｰ」誰が対象なの？,13,6988
13569,「退職願（届）」定年退職の場合でも退職願（届）は提出するの？,13,6989
13570,「退職金」55歳以上の支給率は会社都合か？,13,6990
13571,「賞与」退職後に支給される賞与の税金は、再就職している場合、再就職先で年末調整してもらえる？,13,6991
13572,「その他」退職月に診療室を利用したが給与天引きできるのか？,13,6992
13573,「OB豊楽会」退職後でも加入できるか？,13,6993
13574,「その他」社章を失くした。どうすればよいか？,13,6994
13575,「その他」嘱託契約満了日の前に退職したいが、手続きはどうすればよいか？,13,6995
13576,「退職諸手続き説明」退職願いを提出したが、いつごろ説明してもらえるの？,13,6996
13577,「退職金（税金）」退職金と税金はいくら？,13,6997
13578,「持株会」退職するが持株会はどうなるの？,13,6998
13579,「保険」損害保険や生命保険は継続できるの？,13,6999
13580,「コーポレートカード」コーポレートカードを退職後も継続したい。,13,7000
13581,「退職後の賞与」所得税、健康保険、介護保険、厚生年金、雇用保険は控除されるの？,13,7001
13582,「その他」退職後も診療室を利用したい,13,7002
13583,「退職（健康保険）」任意継続を希望するが、いつでもやめられるの？,13,7003
13584,「退職（健康保険）」任意継続するとどんな給付が受けられるの？,13,7004
13585,「退職（健康保険）」在籍のときと比べて、任意継続保険料はどうして高いの？,13,7005
13586,「その他」退職後に引越しする予定だが、連絡する必要あるの？,13,7006
13587,「その他」ｺｰﾎﾟﾚｰﾄｶｰﾄﾞはどこへ返すの？,13,7007
13588,「退職（国民年金）」年金手帳はどこにあるの？いつ返してくれるの？,13,7008
13589,「退職（国民年金）」扶養している妻の年金手帳は会社にあるの？,13,7009
13590,「その他」人材派遣で期間満了となるが、社員証は誰に返却すればいいの？,13,7010
13591,「退職（健康保険）」任意継続したのに、最終給与で保険料2ヵ月分控除されたがどうして？,13,7011
13592,「退職金（住民税）」最終月給与で地方税が高くなったのはなぜ？,13,7012
13600,こんにちは,13,7021
