id,level,question_answer_id,bot_id,question,original_question
1,1,2671,8,Ptnaとはなんですか？,Ptnaとはなんですか？
2,1,4061,2,はい,はい
3,2,4063,2,いいえ,いいえ
4,1,4037,2,カードキー紛失したよ,カードキー紛失したよ
5,2,2705,8,申し込んだ先生より近くの先生がいたらそちらを紹介してくれますか？,申し込んだ先生より近くの先生がいたらそちらを紹介してくれますか？
6,1,2684,8,こんにちは,こんにちは
7,1,4318,1,esaの議事録追加したい,esaの議事録追加したい
8,1,2684,8,こんにちは,こんにちは
9,1,2684,8,こんにちは,こんにちは
10,1,4293,1,ラーメン好き？,ラーメン好き？
11,2,2686,8,スッテっプとは,スッテっプとは
12,1,4209,1,こんにちは,こんにちは
13,1,4044,2,全く検討もつかない,全く検討もつかない
14,2,2694,8,男の先生,男の先生
15,2,4310,8,生徒の声ありとかかれているのに、見れない。ややこしい。,生徒の声ありとかかれているのに、見れない。ややこしい。
16,1,2706,8,体験はできますか？,体験はできますか？
17,2,2699,8,見学はできますか？,見学はできますか？
18,2,4310,8,問い合わせはホームページからのみですか？,問い合わせはホームページからのみですか？
19,1,2709,8,直接、先生と連絡を取ることはできませんか？,直接、先生と連絡を取ることはできませんか？
20,2,2697,8,先生は全員音大卒ですか？,先生は全員音大卒ですか？
21,1,2678,8,先生はどこの学校を卒業していますか？,先生はどこの学校を卒業していますか？
22,2,2683,8,面談後の返事はいつまでにすれば良いですか？,面談後の返事はいつまでにすれば良いですか？
23,2,2683,8,キャンセルなどの返事は面談後何日以内にすればよろしいでしょうか,キャンセルなどの返事は面談後何日以内にすればよろしいでしょうか
24,2,2675,8,駐車場,駐車場
25,1,2745,8,大人も習えますか,大人も習えますか
26,1,2678,8,先生の出身校はわかりますか,先生の出身校はわかりますか
27,1,4049,2,全角になっていた,全角になっていた
28,1,4044,2,全く検討もつかない,全く検討もつかない
29,2,2675,8,どうやったら教室を紹介してもらえますか？,どうやったら教室を紹介してもらえますか？
30,1,4051,2,点灯している,点灯している
31,1,2745,8,大人のピアノ,大人のピアノ
32,2,4259,1,ラーメンすき？,ラーメンすき？
33,1,4044,2,全く検討もつかない,全く検討もつかない
34,1,4044,2,全く検討もつかない,全く検討もつかない
35,1,4044,2,全く検討もつかない,全く検討もつかない
36,1,4044,2,全く検討もつかない,全く検討もつかない
37,1,2706,8,自閉症の5歳児の男の子。福井県坂井市丸岡に住んでいます。私の孫です。体験をしたいです。,自閉症の5歳児の男の子。福井県坂井市丸岡に住んでいます。私の孫です。体験をしたいです。
38,1,2677,8,教室を紹介してもらう方法,教室を紹介してもらう方法
39,2,4313,8,新宿区中落合2丁目に一番近いピアノ教室を教えてください,新宿区中落合2丁目に一番近いピアノ教室を教えてください
40,1,4209,1,やっほー,やっほー
41,1,7074,1,うざい,うざい
42,1,7079,2,こんにちは！,こんにちは！
43,1,4054,2,パソコンのスイッチを入れても黒い画面のまま,パソコンのスイッチを入れても黒い画面のまま
44,2,4055,2,画面は表示されているが、ログインが出来ない,画面は表示されているが、ログインが出来ない
45,1,7079,2,こんにちは！,こんにちは！
46,1,7086,2,はい,はい
47,1,7082,9,解決した,解決した
48,2,7109,14,いくらですか,いくらですか
49,2,2671,8,ピティナに支払う報酬はいくらですか,ピティナに支払う報酬はいくらですか
50,1,2675,8,ピティナの利用料金はいくらですか？,ピティナの利用料金はいくらですか？
51,2,7116,14,だいたいどれくらいで作れますか？,だいたいどれくらいで作れますか？
52,1,7116,14,だいたいどれくらいの開発期間で作れますか？,だいたいどれくらいの開発期間で作れますか？
53,1,7129,14,このパッケージをもとに作られたサービスはありますか？,このパッケージをもとに作られたサービスはありますか？
54,1,7092,14,他の開発実績を教えて下さい,他の開発実績を教えて下さい
55,1,2677,8,問い合わせしたい先生が3名います。それぞはれの教室を見学させていただいて決める事は可能でしょうか？その場合は、どのように申し込めば良いでしょうか？,問い合わせしたい先生が3名います。それぞはれの教室を見学させていただいて決める事は可能でしょうか？その場合は、どのように申し込めば良いでしょうか？
56,2,7099,14,回答失敗させてみる,回答失敗させてみる
57,2,7122,14,ライドシェアサービスは作れますか？,ライドシェアサービスは作れますか？
58,2,4045,2,いいえ,いいえ
59,1,5465,2,おはようございます！,おはようございます！
60,1,4052,2,点灯していない,点灯していない
61,1,4041,2,あった,あった
62,1,4558,9,PC入替,PC入替
63,1,4313,8,ピアノを習いたい,ピアノを習いたい
64,1,4840,8,見学はできますか,見学はできますか
65,1,5465,2,おはよう,おはよう
66,2,4056,2,今週の会社の予定は？,今週の会社の予定は？
67,2,4057,2,はい,はい
68,1,4058,2,会社全体の予定,会社全体の予定
69,1,4041,2,あった,あった
70,1,4039,2,自宅,自宅
71,1,4055,2,画面は表示されているが、ログインが出来ない,画面は表示されているが、ログインが出来ない
72,1,7048,9,ホールディングスのプリンタを利用したい,ホールディングスのプリンタを利用したい
73,1,7272,14,ライドシェアできますか？,ライドシェアできますか？
74,1,7137,14,しぇあこさんって誰？,しぇあこさんって誰？
75,2,7271,14,カスタマイズ開発の費用はいくらですか？,カスタマイズ開発の費用はいくらですか？
76,1,7316,2,こんばんは！,こんばんは！
77,1,7022,2,好きな本は？,好きな本は？
78,1,4044,2,全く検討もつかない,全く検討もつかない
79,2,7121,14,ペイパルは対応してますか？,ペイパルは対応してますか？
80,2,7128,14,データ分析機能を作ってもらうことはできますか？,データ分析機能を作ってもらうことはできますか？
81,2,7093,14,パッケージを購入してから、開発相談をすればいいのですか？,パッケージを購入してから、開発相談をすればいいのですか？
82,1,4209,1,こんにちは,こんにちは
83,1,7317,14,パッケージの料金を教えて下さい,パッケージの料金を教えて下さい
84,1,7317,14,パッケージ料金はいくら？,パッケージ料金はいくら？
85,2,4046,2,パソコン,パソコン
86,1,2684,8,こんにちは,こんにちは
87,2,8230,15,パソコンの画面が真っ暗になった,パソコンの画面が真っ暗になった
88,1,8532,15,画面,画面
89,1,8482,15,情報システム部の誰かに電話がしたい,情報システム部の誰かに電話がしたい
90,2,8451,15,LANケーブルが欲しいです,LANケーブルが欲しいです
91,1,8531,15,マウス,マウス
92,1,8548,15,PC電源はいらないよ,PC電源はいらないよ
93,1,8533,15,本体,本体
94,1,8516,15,それでも電源が入らない。,それでも電源が入らない。
95,1,8501,15,誰ですか,誰ですか
96,1,8530,15,キーボード,キーボード
97,1,8611,15,はい,はい
98,1,8611,15,はい,はい
99,1,7271,14,カスタマイズできますか？,カスタマイズできますか？
100,2,8633,15,わからない,わからない
101,1,8610,15,はい,はい
102,2,8436,15,インターネットが遅い,インターネットが遅い
103,1,8532,15,画面,画面
104,1,8437,15,PCおかしい,PCおかしい
105,2,8649,16,生命保険に入っている場合、年末調整には何か絡んでましたっけ？,生命保険に入っている場合、年末調整には何か絡んでましたっけ？
106,1,2745,8,全くの初心者ですが大丈夫ですか,全くの初心者ですが大丈夫ですか
107,2,2694,8,若い先生に習いたい,若い先生に習いたい
108,1,9082,18,元気？,元気？
109,1,9118,18,お疲れ様,お疲れ様
110,1,9091,18,ありがとう！,ありがとう！
111,1,9092,18,好きな食べ物は？,好きな食べ物は？
112,2,9113,18,お魚やと何が好き？,お魚やと何が好き？
113,1,9094,18,こんばんは！,こんばんは！
114,1,9110,18,どこに住んでるの？,どこに住んでるの？
115,1,9102,18,明日よろしく！,明日よろしく！
116,2,9102,18,明日の予定は何かある？,明日の予定は何かある？
117,2,9113,18,好きなお菓子は？,好きなお菓子は？
118,1,9113,18,どんな音楽聴いてる？,どんな音楽聴いてる？
119,2,9103,18,今日の予定は？,今日の予定は？
120,2,9103,18,今日の天気は？,今日の天気は？
121,1,9103,18,いい天気だね！,いい天気だね！
122,2,9086,18,何歳？,何歳？
123,2,9102,18,明日の天気教えて,明日の天気教えて
124,2,2697,8,音大受験レッスンで検索したい。。。。,音大受験レッスンで検索したい。。。。
125,1,7299,1,モーダルウィンドウとは？,モーダルウィンドウとは？
126,1,9684,17,画面,画面
127,1,9713,17,はい。,はい。
128,1,9713,17,はい。,はい。
129,1,9789,17,好きな食べ物は？,好きな食べ物は？
130,1,9684,17,画面,画面
131,1,9800,17,ケーブルなくした,ケーブルなくした
132,1,9860,16,医療費控除を受けられますか,医療費控除を受けられますか
133,2,4046,2,携帯電話が壊れた。,携帯電話が壊れた。
134,1,9684,17,画面,画面
135,1,13664,17,画面,画面
136,1,9790,17,おはよう！,おはよう！
137,1,9788,17,いいえ。もう帰ります。,いいえ。もう帰ります。
138,1,9789,17,好きな食べ物は？,好きな食べ物は？
139,2,13619,15,マイクの音が出ません,マイクの音が出ません
140,2,13619,15,パソコンから変な音がします,パソコンから変な音がします
141,2,8639,15,かな入力ができません,かな入力ができません
142,2,8417,15,ワードがフリーズします,ワードがフリーズします
143,1,10846,1,もふみんっていうゆるキャラがいるらしいよ,もふみんっていうゆるキャラがいるらしいよ
144,2,13514,15,プリンターにつながらないよ,プリンターにつながらないよ
145,1,8515,15,プリンターが動きません。,プリンターが動きません。
146,1,13694,15,解決しました。,解決しました。
147,1,8549,15,はい。,はい。
148,1,8411,15,はい。,はい。
149,1,13616,15,いいえ。,いいえ。
150,1,13515,15,はい。接続できていました。,はい。接続できていました。
151,2,8515,15,プリンターの神がつまってしまった,プリンターの神がつまってしまった
152,1,13700,15,プリンターで紙が毎回詰まってしまいます。,プリンターで紙が毎回詰まってしまいます。
153,1,8389,15,共有フォルダにアクセスできません。,共有フォルダにアクセスできません。
154,2,8389,15,外出先から社内の共有フォルダにアクセスできるようにしたいです,外出先から社内の共有フォルダにアクセスできるようにしたいです
155,2,9257,18,君使えないねー,君使えないねー
156,2,7299,1,モーダルウィンドウとは？,モーダルウィンドウとは？
157,2,7271,14,カスタマイズなしで構築できますか？,カスタマイズなしで構築できますか？
158,1,7290,14,おいくらですか？,おいくらですか？
159,2,7137,14,あなたはフリー素材ですか？,あなたはフリー素材ですか？
160,1,7282,14,フェイスブックログインできます,フェイスブックログインできます
161,2,2745,8,大人の上級まで学びたい,大人の上級まで学びたい
162,1,10646,8,もう少し詳しい住所を知りたいです,もう少し詳しい住所を知りたいです
163,1,10646,8,もう少し詳しい住所を知りたいです,もう少し詳しい住所を知りたいです
164,1,8530,15,キーボード,キーボード
165,1,13515,15,はい。接続できていました。,はい。接続できていました。
166,1,8586,15,はい。,はい。
167,1,4633,8,土曜日もレッスンしてくれる先生を希望です,土曜日もレッスンしてくれる先生を希望です
168,2,15105,14,こんばんは,こんばんは
169,1,9043,8,先生の年齢を指定することはできますか？,先生の年齢を指定することはできますか？
170,1,17409,15,はじめまして！,はじめまして！
171,2,13926,14,パッケージの料金っていくらなの？,パッケージの料金っていくらなの？
172,2,0,15,お茶がこわれた,お茶がこわれた
173,1,13956,14,ユーザーどうしでメールのやりとりはできるんですか？,ユーザーどうしでメールのやりとりはできるんですか？
174,1,15076,15,PCの音が出ません。,PCの音が出ません。
175,1,14849,15,無線LANのパスワードを忘れてしまいました,無線LANのパスワードを忘れてしまいました
176,2,10838,8,もう少し詳しい住所を知りたいです,もう少し詳しい住所を知りたいです
177,2,9071,8,稲垣千賀子先生とは,稲垣千賀子先生とは
178,2,0,15,アニメですか？,アニメですか？
179,1,17410,15,すきなことは？,すきなことは？
180,1,15099,15,こんにちは！,こんにちは！
181,1,9050,8,保育士受験対策のレッスンを希望します。,保育士受験対策のレッスンを希望します。
182,1,15119,1,トマト好き？,トマト好き？
183,2,17363,8,後藤加奈教室はどこですか？,後藤加奈教室はどこですか？
184,2,17381,15,パソコンこわれちゃった,パソコンこわれちゃった
185,1,13778,14,こんにちは！,こんにちは！
186,1,15033,15,パソコンおかしい,パソコンおかしい
187,2,0,15,直角って何度？,直角って何度？
188,2,0,15,こんんちいは！,こんんちいは！
189,1,15119,1,トマト好き？,トマト好き？
190,1,13778,14,こんにちは,こんにちは
191,1,15104,15,ありがとうございます！,ありがとうございます！
192,1,15124,15,LANケーブルどっかいった,LANケーブルどっかいった
193,1,16435,15,プリンター紙詰まった！,プリンター紙詰まった！
194,1,15122,15,君かしこいね！,君かしこいね！
195,1,17381,15,パソコンこわれちゃった,パソコンこわれちゃった
196,1,18352,15,おは！,おは！
197,2,17438,22,パソコン壊れちゃった,パソコン壊れちゃった
198,2,0,22,あああ,あああ
199,2,0,22,パソコン,パソコン
200,2,0,22,経費,経費
201,2,0,22,パソコンこわれた,パソコンこわれた
202,1,9651,1,はらぱんって誰ですか？,はらぱんって誰ですか？
203,2,9726,8,姉妹で習わせたいですが割引はありますか？,姉妹で習わせたいですが割引はありますか？
204,2,18751,13,レート,レート
205,2,18750,13,レートはどこで確認するの？,レートはどこで確認するの？
206,1,18744,13,海外出張精算時のレートに乖離が出た場合どうするの,海外出張精算時のレートに乖離が出た場合どうするの
207,2,18699,13,日当　金額,日当　金額
208,1,18829,13,機中泊について知りたい,機中泊について知りたい
209,1,19305,13,担当者を知りたい,担当者を知りたい
210,2,0,26,あｄがｒふぁｇへｒだｆ,あｄがｒふぁｇへｒだｆ
211,2,18701,13,領収書を紛失してしまいました。どうすればいいですか？,領収書を紛失してしまいました。どうすればいいですか？
212,2,18582,13,何時間の出張から日当が出ますか？,何時間の出張から日当が出ますか？
213,1,18633,13,"国内の日帰り出張で、業務+懇親会で11時間以上になった場合の
日当はいくらですか？","国内の日帰り出張で、業務+懇親会で11時間以上になった場合の
日当はいくらですか？"
214,2,18664,13,領収書台紙はどこに提出すればいいですか？,領収書台紙はどこに提出すればいいですか？
215,2,18586,13,昨年度の旅費を精算できますか？,昨年度の旅費を精算できますか？
216,1,18577,13,国内旅費の日当はいくらですか？,国内旅費の日当はいくらですか？
217,1,18682,13,宿泊を含む国内出張の場合、移動のみの日については日当は支給なしになりますか？,宿泊を含む国内出張の場合、移動のみの日については日当は支給なしになりますか？
218,2,14839,15,Windowsにログインが出来ません,Windowsにログインが出来ません
219,1,15040,15,パソコン入替えの手順を教えてください。,パソコン入替えの手順を教えてください。
220,1,19256,27,ダウンロードしたソフトをインストールしたい,ダウンロードしたソフトをインストールしたい
221,1,18780,13,領収書紛失,領収書紛失
222,2,0,25,了解です。,了解です。
223,2,0,25,おーい,おーい
224,1,19456,28,解決しない,解決しない
225,1,18332,13,ありがとう,ありがとう
226,2,18630,13,国内出張の日当,国内出張の日当
227,2,18594,13,海外出張　深夜便,海外出張　深夜便
228,2,18594,13,海外出張　深夜便　宿泊代,海外出張　深夜便　宿泊代
229,1,18642,13,国内出張時に実家に宿泊した場合の宿泊代は？,国内出張時に実家に宿泊した場合の宿泊代は？
230,2,0,13,またね,またね
231,2,0,13,またよろしく,またよろしく
232,1,18335,13,こんばんは,こんばんは
233,1,0,13,海外出張　ＳＡＰ,海外出張　ＳＡＰ
234,1,18737,13,円貨払いがある場合は海外出張旅費に含めて精算してもよいか？,円貨払いがある場合は海外出張旅費に含めて精算してもよいか？
235,1,15040,15,"PCの入れ替えをご希望の場合は、
課長以上の方の承認を得た上でシステム部までご連絡下さい。
XXX@example.com

メールと紙上での申請が必要になります。

＊在庫がない場合は、新規レンタル費用が必要になります。
 

ご連絡いただきたい内容
 ・使用者(もしくは共有PCの管理者)
 ・入替えが必要な理由
 ・入替前後のPCについて
例：ノート→デスクトップ","PCの入れ替えをご希望の場合は、
課長以上の方の承認を得た上でシステム部までご連絡下さい。
XXX@example.com

メールと紙上での申請が必要になります。

＊在庫がない場合は、新規レンタル費用が必要になります。
 

ご連絡いただきたい内容
 ・使用者(もしくは共有PCの管理者)
 ・入替えが必要な理由
 ・入替前後のPCについて
例：ノート→デスクトップ"
236,1,15033,15,IEの表示がおかしいです。,IEの表示がおかしいです。
237,2,0,15,あがふぁえｒｄふぁ,あがふぁえｒｄふぁ
238,2,18613,13,国内出張　飛行機等級,国内出張　飛行機等級
239,2,18613,13,国内出張　ビジネスクラスやクラスJは利用可能ですか？,国内出張　ビジネスクラスやクラスJは利用可能ですか？
240,2,19714,29,携帯,携帯
241,2,0,29,セールスフォース　支払,セールスフォース　支払
242,2,18780,13,費用計算書と領収書を紛失してしまったら？,費用計算書と領収書を紛失してしまったら？
243,1,18608,13,国内出張時にタクシーの領収書を紛失した場合の精算方法は？,国内出張時にタクシーの領収書を紛失した場合の精算方法は？
244,2,18868,13,休暇で海外滞在する予定であるが、その滞在中に業務を行うことになった場合、その業務に従事した際の宿泊費や現地旅費は、海外出張旅費として精算可能か？,休暇で海外滞在する予定であるが、その滞在中に業務を行うことになった場合、その業務に従事した際の宿泊費や現地旅費は、海外出張旅費として精算可能か？
245,1,18839,13,海外出張精算で、旅費交通費（宿泊費・日当）を現地法人が負担した場合の処理は？,海外出張精算で、旅費交通費（宿泊費・日当）を現地法人が負担した場合の処理は？
246,1,9043,8,先生の年齢を指定することはできますか？,先生の年齢を指定することはできますか？
247,2,9687,1,もうちょい賢くなって欲しいです,もうちょい賢くなって欲しいです
248,2,19742,30,こんにちは,こんにちは
249,2,13778,14,こんにちは,こんにちは
250,2,0,17,こんにちわ,こんにちわ
251,2,0,30,こんにちわ,こんにちわ
252,2,18677,13,出張精算方法は？,出張精算方法は？
253,2,18607,13,国内出張　申請方法,国内出張　申請方法
254,2,0,29,こんにちわ,こんにちわ
255,1,19938,29,通勤経路,通勤経路
256,1,8985,8,ピアノ教室紹介を利用すると料金がかかりますか？,ピアノ教室紹介を利用すると料金がかかりますか？
257,1,9042,8,ピアノ持ってないけどだいじょうぶ？,ピアノ持ってないけどだいじょうぶ？
258,2,0,8,バカ,バカ
259,1,0,8,ない,ない
260,2,9071,8,lDが103157の先生はどなたですか？,lDが103157の先生はどなたですか？
261,1,19742,30,こんにちは,こんにちは
262,1,19749,30,損害保険募集人一般試験の申込方法を教えてください。,損害保険募集人一般試験の申込方法を教えてください。
263,1,19751,30,損害保険募集人一般試験に合格しました。必要な手続きを教えてください。,損害保険募集人一般試験に合格しました。必要な手続きを教えてください。
264,2,0,30,三井住友海上火災保険の課支社の方の連絡先,三井住友海上火災保険の課支社の方の連絡先
265,1,19818,30,らく賃のオリコの申込書が欲しいがどうしたらよいか。,らく賃のオリコの申込書が欲しいがどうしたらよいか。
266,1,15108,15,おはようー！,おはようー！
267,2,0,30,自動車事故が起きました,自動車事故が起きました
268,1,19837,30,パソコンの担当者は,パソコンの担当者は
269,1,19886,30,重説,重説
270,2,0,25,がｆｇヴぁえｒｆくぁえ,がｆｇヴぁえｒｆくぁえ
271,2,0,25,っほほ,っほほ
272,2,19811,30,らく賃の中抜け家賃はどこに振り込む？,らく賃の中抜け家賃はどこに振り込む？
273,2,19742,30,こんにちは,こんにちは
274,1,0,30,モバイル端末の担当は,モバイル端末の担当は
275,1,19859,30,モバイル端末ロール紙の担当者は誰になるのか？,モバイル端末ロール紙の担当者は誰になるのか？
276,2,19817,30,らく賃の担当は,らく賃の担当は
277,2,19803,30,トータルらく賃の受託,トータルらく賃の受託
278,2,19868,30,らく賃の受託,らく賃の受託
279,2,0,22,出張経費申請の方法おしえてくれ,出張経費申請の方法おしえてくれ
280,1,17538,22,おはよう！,おはよう！
281,1,13778,14,こんにちは！,こんにちは！
282,1,18574,8,私は全くピアノが弾けません。しかし保育士になりたいと思っています。そんな私にも合う教室はありますか？,私は全くピアノが弾けません。しかし保育士になりたいと思っています。そんな私にも合う教室はありますか？
283,2,18818,13,出向者の海外旅費精算はどうすればいいですか？,出向者の海外旅費精算はどうすればいいですか？
284,1,18815,13,国内の出向者です。,国内の出向者です。
285,2,20944,33,現場監督が協力会社を追加する際にメールアドレスを誤って登録し登録完了メールが届かない。どうすれば修正できますか？,現場監督が協力会社を追加する際にメールアドレスを誤って登録し登録完了メールが届かない。どうすれば修正できますか？
286,2,0,1,おりゃああ,おりゃああ
287,2,0,1,おりゃあああ,おりゃあああ
288,2,0,22,のり弁当の作り方おしえて,のり弁当の作り方おしえて
289,2,17566,22,ちょっとおしえて,ちょっとおしえて
290,2,0,22,円周率をおしえて,円周率をおしえて
291,2,17566,22,ちょっとおしえて,ちょっとおしえて
292,2,0,2,おはよう！,おはよう！
293,1,15109,15,好きな本はなんですか？,好きな本はなんですか？
294,1,15110,15,好きな映画はなんですか？,好きな映画はなんですか？
295,1,13911,14,セキュリティどのようになっていますか？,セキュリティどのようになっていますか？
296,2,13652,1,鏑木さんって？,鏑木さんって？
297,1,22450,1,鏑木さんって誰？,鏑木さんって誰？
298,2,0,22,円周率はいくらですか？,円周率はいくらですか？
299,2,17525,22,セキュリティソフトの月額費用はいくらですか？,セキュリティソフトの月額費用はいくらですか？
300,2,17467,22,パソコンおかしい,パソコンおかしい
301,1,18577,13,宿泊日当はいくら,宿泊日当はいくら
302,2,18831,13,ホテル代はいくらまでですか？,ホテル代はいくらまでですか？
303,1,18680,13,ガソリン代,ガソリン代
304,2,18779,13,領収書を無くしてしまった,領収書を無くしてしまった
305,1,18780,13,費用計算書と領収書を紛失してしまったら？,費用計算書と領収書を紛失してしまったら？
306,2,0,13,中国の為替レートは,中国の為替レートは
307,2,0,13,出張時の移動時間は残業時間になりますか？,出張時の移動時間は残業時間になりますか？
308,2,0,13,帰社が定時後になる場合、残業時間としてカウントしますか？,帰社が定時後になる場合、残業時間としてカウントしますか？
309,2,18848,13,退職したいのですが手続きは？,退職したいのですが手続きは？
310,1,15119,1,トマト好き？,トマト好き？
311,2,18577,13,宿泊を伴わない場合はいくらでしょうか？,宿泊を伴わない場合はいくらでしょうか？
312,1,18577,13,国内出張の日当てはいくらでしょうか？,国内出張の日当てはいくらでしょうか？
313,2,18633,13,日帰り出張の日当てはいくらでしょうか？,日帰り出張の日当てはいくらでしょうか？
314,2,0,13,知多への日帰り出張に日当てはつきますか？,知多への日帰り出張に日当てはつきますか？
315,2,18689,13,海外出張で日本円で支払った場合は、費用計算書に入れてもいいですか？,海外出張で日本円で支払った場合は、費用計算書に入れてもいいですか？
316,1,9564,1,会社,会社
317,2,0,13,カーシェアリングの精算方法は？,カーシェアリングの精算方法は？
318,2,0,1,なす,なす
319,1,16423,1,とまと,とまと
321,1,13937,1,モーダルウィンドウとは？,モーダルウィンドウとは？
322,1,18872,13,海外出張旅費精算が承認されていないものがありますが、いつ承認になりますか？,海外出張旅費精算が承認されていないものがありますが、いつ承認になりますか？
323,2,18691,13,ESTA（エスタ）代は、海外出張費用計算書にいれてもいいですか？,ESTA（エスタ）代は、海外出張費用計算書にいれてもいいですか？
324,1,18689,13,海外出張で日本円で支払った場合は、費用計算書に入れてもいいですか？,海外出張で日本円で支払った場合は、費用計算書に入れてもいいですか？
325,2,18751,13,ユーロのレートっていくら,ユーロのレートっていくら
326,2,18751,13,EURO レート,EURO レート
327,1,18577,13,宿泊を伴う国内出張の日当はいくらになりますか？,宿泊を伴う国内出張の日当はいくらになりますか？
328,1,22448,13,知多へ日帰りは日当がつきますか？,知多へ日帰りは日当がつきますか？
329,1,18774,13,海外での個人携帯電話費用について、どのように清算すればいいですか？,海外での個人携帯電話費用について、どのように清算すればいいですか？
330,1,18725,13,海外で接待飲食代を取引先が一部負担してくれた場合や割勘された場合で、これら先方負担金額を除いて請求されたときの勘定科目は、どうしたらいいでしょうか？,海外で接待飲食代を取引先が一部負担してくれた場合や割勘された場合で、これら先方負担金額を除いて請求されたときの勘定科目は、どうしたらいいでしょうか？
331,1,18691,13,ESTA（エスタ）代は、海外出張費用計算書にいれてもいいですか？,ESTA（エスタ）代は、海外出張費用計算書にいれてもいいですか？
332,2,18820,13,国内出向者が、海外出張した時に、出張費用を出向先が100％負担した場合の申請処理は？,国内出向者が、海外出張した時に、出張費用を出向先が100％負担した場合の申請処理は？
333,1,18706,13,国内出向者の海外出張日当はどうすればいいですか？,国内出向者の海外出張日当はどうすればいいですか？
334,2,18706,13,国内出向者の海外出張精算はどうすればいいですか？,国内出向者の海外出張精算はどうすればいいですか？
335,2,18607,13,国内出張はいつまでに精算すればいいですか,国内出張はいつまでに精算すればいいですか
336,1,18593,13,コーポレートカードを持っていない為、金券ショップにて新幹線の回数券を購入しました。どのように精算申請したら良いですか？,コーポレートカードを持っていない為、金券ショップにて新幹線の回数券を購入しました。どのように精算申請したら良いですか？
337,1,18591,13,国内出張時、移動開始〜労働終了までに11時間以上ある場合の日当はどうなりますか？,国内出張時、移動開始〜労働終了までに11時間以上ある場合の日当はどうなりますか？
338,1,18633,13,"国内の日帰り出張で、業務+懇親会で11時間以上になった場合の
日当はいくらですか？","国内の日帰り出張で、業務+懇親会で11時間以上になった場合の
日当はいくらですか？"
339,1,0,13,11時間を超える場合は？,11時間を超える場合は？
340,2,18647,13,国内出張の宿泊費規定は？,国内出張の宿泊費規定は？
341,2,18642,13,国内出張の宿泊費は？,国内出張の宿泊費は？
